	Sample.12	Sample.8	Sample.10	Sample.1	Sample.5	Sample.3	Sample.6	Sample.2	Sample.4	Sample.11	Sample.7	Sample.9
gene-1	8	11	11	53	100	41	37	7	17	49	29	39
gene-2	0	0	0	1	1	0	0	0	0	0	0	0
gene-3	1014	910	1547	4938	5739	2939	4070	1440	1184	1564	1359	2168
gene-4	0	0	0	0	4	2	0	0	0	3	0	1
gene-5	43	14	44	310	430	160	211	66	49	85	77	80
gene-6	0	1	1	43	26	10	3	1	7	21	4	5
gene-7	8	11	11	53	100	41	37	7	17	49	29	39
gene-8	516	573	974	10203	9616	4795	3891	1123	1212	2983	2015	3185
gene-9	10	11	20	55	66	47	73	33	17	32	27	19
gene-10	133	137	196	575	904	475	370	177	169	179	199	268
gene-11	8	22	19	42	37	14	9	9	5	36	14	28
gene-12	704	774	1094	4596	3883	1900	1493	489	455	2160	1499	2085
gene-13	1	1	1	1	3	1	5	0	0	0	0	0
gene-14	8	6	6	9	21	14	10	5	4	17	15	10
gene-15	1203	1142	1539	4638	5152	2459	5808	2162	1686	2034	1210	2153
gene-16	0	0	0	0	0	0	0	0	0	0	1	0
gene-17	1541	1234	1699	4749	6643	3036	2851	1621	1276	2338	1688	2458
gene-18	0	2	0	0	8	0	0	0	0	1	1	0
gene-19	356	390	463	2524	2923	1173	1797	437	516	985	707	1047
gene-20	12	6	3	16	36	15	15	6	10	18	5	17
gene-21	0	0	0	1	3	1	0	0	0	2	0	3
gene-22	0	0	0	4	5	4	2	0	0	1	1	0
gene-23	368	289	457	2939	3396	1544	2654	541	599	1177	1253	1277
gene-24	1774	1528	1016	1627	5494	2844	2164	3293	2485	1886	1485	1148
gene-25	0	0	0	0	0	0	0	0	0	0	2	0
gene-26	6140	4874	3476	2857	9197	4924	5444	6861	5269	5383	4023	3421
gene-27	0	0	0	0	0	0	0	0	0	0	2	0
gene-28	14	10	9	15	37	25	13	23	17	17	13	10
gene-29	0	0	0	0	2	0	0	0	0	0	0	0
gene-30	0	3	0	0	4	0	2	0	0	1	2	1
gene-31	6241	5286	4840	14528	24354	11343	5793	7378	5133	9696	5975	7618
gene-32	0	0	0	0	0	0	0	0	0	0	0	0
gene-33	6	2	0	1	5	2	0	1	3	1	1	0
gene-34	3314	2626	2041	523	2843	1689	2800	3839	2072	893	1784	726
gene-35	2350	1689	2637	2242	3282	1974	3521	2283	1561	1736	1401	1435
gene-36	550	549	365	352	949	532	646	571	289	745	794	458
gene-37	320	296	219	1537	3333	1697	198	420	283	1470	937	910
gene-38	0	0	0	2	3	1	0	0	0	2	2	0
gene-39	24	24	27	91	149	80	66	33	27	71	85	56
gene-40	1482	1391	1874	13883	14785	6394	12307	2490	2742	4981	4938	5034
gene-41	21	22	24	241	350	167	89	33	29	130	98	85
gene-42	2660	2706	4028	61009	52145	23535	20662	4658	5006	19217	12220	17414
gene-43	0	0	0	1	0	0	0	0	0	1	0	0
gene-44	0	0	0	0	0	0	0	0	0	0	0	0
gene-45	6	0	4	24	22	5	8	0	0	15	8	12
gene-46	0	0	0	0	0	0	0	0	0	0	0	0
gene-47	26	25	23	26	42	26	21	22	11	23	23	26
gene-48	0	0	0	0	0	0	0	0	0	0	0	0
gene-49	1	0	0	3	1	1	0	0	0	0	3	2
gene-50	0	0	0	0	0	0	0	0	0	0	0	0
gene-51	20	15	8	63	180	83	40	24	24	84	77	76
gene-52	1	2	3	13	12	5	1	0	4	9	2	6
gene-53	9	17	26	22	60	23	18	45	36	14	23	8
gene-54	83	57	77	56	135	59	145	133	94	30	38	23
gene-55	20	15	15	69	191	101	29	17	29	150	121	86
gene-56	0	0	0	0	0	0	0	0	1	0	0	0
gene-57	0	3	0	2	0	0	0	0	0	4	2	0
gene-58	69	55	71	343	302	160	185	58	46	162	98	168
gene-59	0	0	0	0	0	0	0	1	0	0	0	0
gene-60	1	0	0	0	0	0	0	0	0	0	0	0
gene-61	0	0	0	0	0	0	0	0	0	0	0	0
gene-62	0	0	0	0	0	0	0	0	0	0	0	0
gene-63	0	0	0	0	0	0	0	0	0	0	0	0
gene-64	0	1	0	0	0	0	0	0	0	0	0	0
gene-65	0	0	0	0	0	0	0	0	0	0	0	0
gene-66	0	0	0	0	0	0	0	0	0	0	0	0
gene-67	0	0	0	0	0	0	1	0	0	0	0	1
gene-68	0	0	0	0	0	0	0	0	0	0	0	0
gene-69	0	0	0	0	0	0	0	1	0	0	0	0
gene-70	1	0	1	0	1	1	3	1	0	0	0	0
gene-71	0	2	1	1	0	1	7	1	1	0	0	0
gene-72	3	1	2	0	2	0	0	0	1	0	1	0
gene-73	0	0	0	0	0	0	1	0	0	0	0	0
gene-74	0	0	0	0	0	0	0	0	0	0	0	0
gene-75	0	0	0	0	0	0	0	0	0	0	0	0
gene-76	0	0	0	1	1	1	0	0	0	0	0	0
gene-77	0	0	0	0	0	0	0	0	0	0	0	0
gene-78	0	0	0	0	0	0	0	0	0	0	0	0
gene-79	0	0	0	0	0	0	0	0	0	0	0	0
gene-80	0	0	0	0	0	1	0	0	0	0	2	1
gene-81	0	0	0	0	0	0	0	0	0	0	0	0
gene-82	2	2	0	1	3	2	5	1	0	1	1	1
gene-83	0	0	0	0	0	0	0	0	0	0	0	0
gene-84	0	0	0	0	0	0	0	0	0	0	0	0
gene-85	0	0	0	0	2	1	0	0	0	0	0	0
gene-86	0	0	0	0	1	0	1	0	1	0	0	1
gene-87	0	1	0	1	1	1	0	1	0	3	0	0
gene-88	0	0	0	0	0	0	0	0	0	0	0	0
gene-89	0	0	0	0	0	0	0	0	0	0	0	0
gene-90	0	0	0	0	0	0	0	0	0	0	0	0
gene-91	0	0	0	0	0	0	0	0	0	0	0	0
gene-92	0	0	0	0	0	0	0	0	0	0	0	0
gene-93	0	0	0	0	0	0	0	0	0	0	0	0
gene-94	0	0	0	0	0	0	0	0	0	0	0	0
gene-95	0	0	0	0	0	0	0	0	0	0	0	0
gene-96	2	3	12	9	6	6	33	3	86	1	6	16
gene-97	0	0	0	0	0	0	0	0	0	0	0	0
gene-98	0	0	0	0	0	0	0	0	0	0	0	0
gene-99	0	0	0	0	0	0	0	0	0	0	0	0
gene-100	0	0	0	0	0	0	0	0	0	0	0	0
gene-101	0	0	0	0	1	0	0	1	0	0	0	0
gene-102	0	0	0	0	0	0	0	0	0	0	0	0
gene-103	1	0	0	0	0	0	0	0	0	0	0	0
gene-104	0	0	0	0	0	0	0	0	0	0	0	0
gene-105	0	0	0	0	0	0	0	0	0	0	0	0
gene-106	0	0	0	0	0	0	0	0	0	0	0	0
gene-107	0	0	0	0	0	0	0	0	0	0	0	0
gene-108	0	0	0	0	0	0	0	1	2	0	0	0
gene-109	0	0	0	0	2	0	0	0	0	0	0	0
gene-110	0	4	0	4	9	4	19	18	6	1	2	0
gene-111	0	0	0	0	0	0	0	0	0	0	0	0
gene-112	0	0	0	0	0	0	0	0	0	0	0	0
gene-113	0	1	0	0	0	0	0	0	0	0	1	1
gene-114	0	0	1	1	2	1	3	0	1	2	1	0
gene-115	6	10	2	1	11	10	6	17	11	8	12	2
gene-116	3	9	2	14	41	22	7	18	6	26	16	3
gene-117	2	12	13	30	18	4	24	6	10	0	1	2
gene-118	2	2	3	2	8	3	3	6	6	0	2	2
gene-119	3	2	3	17	27	13	1	3	2	21	4	7
gene-120	0	0	2	2	3	0	0	2	2	0	1	0
gene-121	0	0	0	0	0	0	0	0	0	0	1	4
gene-122	0	0	0	2	8	5	0	0	0	1	0	0
gene-123	0	2	0	5	18	4	1	1	1	6	3	1
gene-124	3	5	2	7	7	4	3	0	2	1	2	5
gene-125	0	0	0	0	0	0	3	2	1	1	1	0
gene-126	52	56	88	176	99	64	67	28	20	107	69	89
gene-127	2522	2327	2581	10458	10687	5338	3843	1602	1306	6158	4030	7238
gene-128	15	24	26	1203	813	349	182	68	70	127	94	124
gene-129	3	7	10	149	161	81	42	12	13	115	80	74
gene-130	649	761	647	13029	16877	8597	1975	1161	1120	4433	3419	4298
gene-131	2	0	0	0	7	1	5	1	1	0	4	0
gene-132	0	0	0	0	0	0	0	0	0	0	0	0
gene-133	390	557	477	627	1613	647	2211	938	814	582	983	541
gene-134	42	50	29	30	114	56	96	59	77	64	120	41
gene-135	0	0	0	0	0	0	0	0	0	1	0	0
gene-136	0	0	0	0	0	0	0	0	0	0	0	0
gene-137	1471	1233	1732	18017	18088	6593	6069	3143	2197	9383	5838	8635
gene-138	121	102	74	681	1275	567	284	169	181	1094	614	664
gene-139	0	0	0	0	0	0	0	0	0	0	0	0
gene-140	0	0	0	0	0	0	0	0	0	0	0	0
gene-141	12	20	12	14	20	6	12	11	9	8	6	3
gene-142	0	0	0	0	0	0	0	0	0	0	0	0
gene-143	1086	1107	1304	1728	2096	1240	3494	1700	1266	1006	958	1042
gene-144	102	129	67	8	50	13	50	60	30	41	40	19
gene-145	10	5	4	2	3	4	2	2	4	6	1	1
gene-146	875	679	988	224	317	155	1259	410	311	260	404	277
gene-147	262	200	117	142	729	199	69	381	213	193	277	171
gene-148	0	0	0	0	0	0	0	0	0	0	0	1
gene-149	11	4	2	10	33	9	31	16	11	6	14	8
gene-150	0	0	0	0	0	0	0	0	0	0	0	0
gene-151	0	0	0	0	0	0	0	0	0	0	0	0
gene-152	8	23	25	32	42	15	52	23	26	7	10	10
gene-153	4	10	6	9	25	3	6	3	7	10	13	3
gene-154	77	95	62	59	222	96	94	110	73	167	194	96
gene-155	9	10	3	9	8	3	7	8	4	18	9	4
gene-156	4	11	7	30	92	43	18	22	10	52	61	28
gene-157	66	47	92	387	325	249	214	87	71	100	103	111
gene-158	0	0	0	0	0	0	0	0	0	0	0	0
gene-159	37	34	33	11	32	12	20	18	12	25	58	17
gene-160	4	5	3	0	3	3	1	2	3	8	3	4
gene-161	1	1	3	6	9	1	12	1	2	5	7	7
gene-162	1	1	0	0	0	1	0	0	1	0	0	0
gene-163	0	0	0	1	1	0	1	0	2	1	1	0
gene-164	0	0	0	0	0	0	0	0	0	0	0	0
gene-165	0	0	0	0	0	0	0	0	0	0	0	0
gene-166	0	0	0	4	4	3	0	0	0	4	0	1
gene-167	194	188	269	1546	1840	848	750	300	284	2024	975	1480
gene-168	1	0	0	5	6	1	3	1	0	0	2	1
gene-169	1	1	0	134	128	61	4	4	4	10	7	7
gene-170	28	27	17	716	1120	606	53	47	40	305	210	195
gene-171	11	8	17	3	5	2	9	8	2	13	13	9
gene-172	14	21	16	9	35	17	43	31	17	136	84	65
gene-173	152	121	109	638	1404	692	372	281	239	1224	810	737
gene-174	16	10	4	51	133	62	35	13	20	96	105	51
gene-175	0	1	0	0	1	0	0	1	2	1	2	0
gene-176	0	0	0	0	2	0	0	0	0	0	0	0
gene-177	0	0	0	0	0	0	0	0	0	1	0	1
gene-178	0	1	0	0	3	0	0	0	0	1	0	1
gene-179	3	5	0	5	9	3	1	1	2	33	25	10
gene-180	5	6	8	3	6	1	17	5	3	19	19	23
gene-181	45	43	38	12	33	13	56	28	17	420	273	314
gene-182	3001	2673	3223	2881	5242	2809	3211	2763	2127	22215	8171	15837
gene-183	282	285	199	228	542	273	477	336	223	2407	1522	1417
gene-184	18	5	2	8	17	9	23	26	13	8	20	3
gene-185	2	2	0	0	1	0	1	0	1	0	1	0
gene-186	71	56	48	57	169	89	261	129	86	54	90	15
gene-187	115	141	84	70	239	143	208	208	159	54	124	39
gene-188	0	0	0	0	0	0	0	0	0	0	0	0
gene-189	920	852	959	3450	6475	2649	4770	1429	1384	1857	2435	1958
gene-190	12	17	13	18	97	27	23	21	12	30	42	32
gene-191	1	0	0	0	0	3	6	8	7	0	2	2
gene-192	1	4	2	0	4	2	4	3	3	2	0	1
gene-193	16	16	27	58	199	65	95	35	40	34	61	41
gene-194	20	35	21	29	175	56	27	42	22	71	105	37
gene-195	0	0	0	0	0	0	0	0	0	0	0	0
gene-196	0	0	0	0	0	0	0	0	0	0	2	0
gene-197	69	84	88	748	1277	554	450	456	279	250	253	109
gene-198	2	0	0	0	2	3	2	0	3	1	1	0
gene-199	110	148	217	496	503	252	429	168	131	309	180	279
gene-200	0	0	1	2	6	2	1	4	1	10	4	10
gene-201	2	1	1	2	0	1	2	3	0	8	2	2
gene-202	9425	8749	12372	14315	18712	9814	48550	16886	13121	11223	8526	9915
gene-203	85	95	133	70	132	64	292	106	126	100	97	89
gene-204	1263	1119	1823	3576	4210	2324	2385	1268	968	3016	1940	2361
gene-205	11	10	5	28	34	20	25	7	6	38	23	27
gene-206	1	1	1	5	5	1	2	0	2	0	3	0
gene-207	92	94	100	281	361	202	213	147	79	276	177	162
gene-208	0	1	0	0	2	0	2	0	1	0	2	0
gene-209	10	20	12	8	13	9	28	15	3	4	11	2
gene-210	451	442	602	1812	1320	809	2087	636	458	921	567	870
gene-211	14	29	19	30	80	31	40	34	23	73	179	36
gene-212	935	807	821	2100	3515	1658	1000	625	581	1826	1471	1360
gene-213	15	18	14	29	61	20	19	10	9	19	28	10
gene-214	0	1	0	0	2	0	1	0	0	0	0	0
gene-215	0	1	1	3	2	0	1	4	0	1	0	0
gene-216	16	16	6	7	66	29	14	18	11	70	55	29
gene-217	4	10	6	21	67	28	5	22	6	110	71	43
gene-218	0	1	2	0	0	0	1	0	1	0	1	0
gene-219	108	79	65	24	57	21	109	78	51	40	106	19
gene-220	3	5	2	6	5	1	4	13	1	2	8	3
gene-221	35	35	15	18	73	26	20	49	28	40	62	30
gene-222	61	79	69	43	118	86	65	81	38	118	106	77
gene-223	91	140	47	47	229	101	36	84	57	214	221	92
gene-224	265	153	199	240	402	211	905	290	328	123	143	111
gene-225	21	17	20	10	21	18	16	16	18	13	21	11
gene-226	418	460	334	272	916	414	697	771	481	766	868	368
gene-227	0	0	0	1	0	0	0	0	0	0	0	0
gene-228	173	158	104	100	296	162	146	329	152	234	219	98
gene-229	18398	16281	16732	6461	22709	12828	16742	22465	12190	9898	14556	6345
gene-230	15	27	13	100	163	66	36	11	19	208	78	133
gene-231	20	23	32	297	191	103	82	7	11	202	88	162
gene-232	348	438	374	2617	4819	2002	811	479	474	4937	3512	3205
gene-233	0	1	1	12	6	5	0	1	0	14	4	7
gene-234	3	3	5	13	12	4	1	1	0	18	13	13
gene-235	325	364	345	1734	2987	1294	647	373	305	2816	2068	2237
gene-236	227	189	193	185	439	244	250	249	170	231	216	162
gene-237	313	327	156	178	768	343	204	375	272	416	548	210
gene-238	4	13	4	2	7	5	6	0	3	3	4	0
gene-239	1985	1829	2016	2673	4341	2074	4035	2406	1699	1710	2118	1424
gene-240	97	83	74	20	42	33	90	54	39	26	55	19
gene-241	36148	25456	39334	17067	30064	14025	79593	37528	24566	10295	14057	10445
gene-242	165	134	96	26	99	53	104	107	77	43	61	29
gene-243	28072	19590	29675	12539	20845	11878	74279	27758	19802	6940	11119	7416
gene-244	6	6	1	17	42	11	15	9	3	25	16	15
gene-245	423	302	372	1264	1269	857	646	417	374	1104	538	1036
gene-246	6	3	7	5	12	5	24	1	7	14	14	12
gene-247	0	0	0	0	0	0	0	0	0	0	0	0
gene-248	3	1	2	13	18	5	17	5	3	10	2	4
gene-249	36	32	34	160	200	100	138	91	65	104	61	86
gene-250	1	2	4	17	11	10	13	7	6	9	5	10
gene-251	22	19	18	131	131	81	113	44	27	71	46	72
gene-252	11	14	14	26	34	11	16	7	15	7	7	15
gene-253	330	268	226	669	989	502	346	355	265	544	302	433
gene-254	0	0	0	0	0	0	2	0	0	3	0	1
gene-255	586	565	422	638	1470	738	665	750	447	1168	979	753
gene-256	2	0	2	9	11	2	5	4	4	9	7	9
gene-257	0	1	2	0	2	1	2	1	3	1	1	1
gene-258	0	1	0	0	1	1	0	0	0	0	0	0
gene-259	2	3	2	0	14	7	10	9	8	10	14	7
gene-260	0	0	0	0	0	0	1	1	1	0	0	0
gene-261	0	0	0	0	0	1	0	0	0	0	0	0
gene-262	0	0	0	0	0	0	0	0	0	0	0	0
gene-263	0	0	0	0	0	0	0	0	0	0	0	0
gene-264	1	0	1	0	0	1	1	4	1	0	0	0
gene-265	0	0	0	0	0	0	0	0	0	0	0	0
gene-266	0	0	0	0	0	0	0	0	0	0	0	0
gene-267	0	0	0	0	0	0	0	0	0	0	0	0
gene-268	0	0	0	0	0	0	0	0	0	0	0	0
gene-269	0	0	0	0	0	0	0	0	0	0	0	0
gene-270	41	41	27	42	67	33	55	46	35	40	41	25
gene-271	406	400	330	157	587	249	564	455	285	359	505	199
gene-272	14	29	21	3	9	9	12	26	11	11	7	0
gene-273	480	363	241	82	399	217	543	463	335	136	278	85
gene-274	0	0	0	0	0	0	0	0	0	0	0	0
gene-275	0	0	0	0	0	0	0	0	0	0	0	0
gene-276	0	0	0	0	0	0	1	0	0	0	0	0
gene-277	0	0	0	0	0	0	0	0	0	0	0	0
gene-278	0	0	0	0	0	0	0	0	0	0	0	0
gene-279	0	0	0	0	0	0	0	0	0	0	0	0
gene-280	0	0	0	0	0	0	0	0	0	0	0	0
gene-281	0	0	0	0	0	0	0	0	0	0	0	0
gene-282	0	0	1	0	1	2	0	0	0	1	1	0
gene-283	6	6	3	2	16	10	2	11	7	6	8	5
gene-284	1	0	2	0	1	0	0	0	0	2	0	1
gene-285	13	13	21	14	24	11	12	12	5	16	17	17
gene-286	5	3	5	10	9	2	13	5	5	7	8	8
gene-287	2241	1866	1871	4253	6674	3677	4313	2819	2057	3426	2597	3015
gene-288	0	0	0	0	0	0	0	0	0	0	0	0
gene-289	0	0	0	0	0	0	0	0	0	0	0	0
gene-290	0	0	0	0	0	0	0	0	0	0	0	0
gene-291	0	0	0	0	0	0	0	1	0	0	0	0
gene-292	0	0	0	0	0	0	0	0	0	0	0	1
gene-293	117	89	107	414	398	198	338	149	116	265	150	189
gene-294	0	2	1	5	3	2	2	6	0	1	0	0
gene-295	0	0	0	0	0	0	0	0	0	0	0	0
gene-296	0	1	0	0	1	0	0	0	1	0	0	0
gene-297	2	3	5	4	3	4	11	2	3	3	2	2
gene-298	0	1	1	0	1	0	0	1	0	0	1	0
gene-299	1	2	0	3	4	0	5	2	1	2	8	2
gene-300	1	1	3	4	5	3	6	6	2	5	3	3
gene-301	0	1	0	8	7	4	1	1	1	3	1	1
gene-302	0	2	2	2	6	1	9	4	1	1	1	3
gene-303	0	0	1	5	2	1	3	0	3	0	2	0
gene-304	1	0	3	3	2	1	2	3	0	2	1	0
gene-305	4	5	4	8	13	9	6	7	6	3	2	1
gene-306	0	0	0	0	0	0	0	0	0	0	0	0
gene-307	0	0	0	1	2	0	2	0	0	0	0	0
gene-308	0	1	1	0	1	0	0	2	4	6	12	6
gene-309	5	2	6	6	17	6	10	10	4	15	7	13
gene-310	45	60	24	4	75	23	30	78	20	47	66	17
gene-311	7	3	6	12	7	5	14	6	3	1	2	0
gene-312	0	0	0	0	0	0	0	0	0	0	0	0
gene-313	5	1	2	0	5	2	11	1	1	3	0	1
gene-314	116	113	52	133	440	204	111	133	105	271	221	188
gene-315	0	0	0	0	0	0	0	0	0	3	1	3
gene-316	0	0	0	0	0	0	0	0	0	1	0	2
gene-317	0	0	0	0	0	0	0	0	0	0	0	0
gene-318	3	2	1	0	2	2	0	1	2	3	2	1
gene-319	10	8	7	7	10	9	11	3	5	1	2	4
gene-320	3	8	2	2	4	3	7	0	3	3	0	1
gene-321	10	9	8	4	22	13	19	13	10	11	8	14
gene-322	4	6	8	5	16	7	20	4	6	5	4	5
gene-323	0	0	0	0	0	0	0	0	0	0	1	0
gene-324	2	4	6	14	7	2	8	3	0	16	6	21
gene-325	0	0	0	0	0	0	1	0	1	3	0	0
gene-326	1	1	2	2	4	3	0	1	0	9	5	8
gene-327	30	14	23	114	54	30	29	46	26	20	32	28
gene-328	0	1	0	0	1	0	0	3	0	0	0	0
gene-329	0	0	0	0	0	0	3	2	0	0	0	0
gene-330	0	0	0	0	0	0	0	0	0	0	0	0
gene-331	1	0	0	0	0	1	0	1	0	0	0	0
gene-332	0	0	0	0	0	0	0	0	0	0	0	0
gene-333	0	0	0	0	9	0	0	2	1	0	0	1
gene-334	5	0	1	0	1	0	0	3	2	0	0	4
gene-335	0	0	0	0	0	0	0	0	0	0	0	0
gene-336	0	0	0	0	0	0	0	0	0	0	0	0
gene-337	9	8	11	8	10	6	24	2	10	0	3	0
gene-338	13	7	6	7	12	9	10	7	7	8	10	5
gene-339	0	0	0	0	0	0	0	0	0	0	0	0
gene-340	0	0	0	0	0	0	1	0	0	1	4	0
gene-341	0	1	1	0	1	1	1	0	1	0	0	1
gene-342	0	0	0	0	0	0	0	0	0	0	0	0
gene-343	0	0	0	0	0	0	0	0	0	0	0	0
gene-344	4	7	10	41	27	12	29	5	4	15	11	12
gene-345	0	0	0	0	0	0	0	0	0	0	0	0
gene-346	0	0	0	0	5	0	0	0	1	0	0	1
gene-347	0	0	0	1	0	0	1	0	0	0	1	0
gene-348	0	0	0	0	0	0	0	0	0	0	0	0
gene-349	1	0	0	0	0	0	0	0	0	0	0	0
gene-350	7	5	7	8	7	10	7	1	1	5	3	4
gene-351	0	1	2	4	1	0	1	3	1	3	0	1
gene-352	1	3	4	32	24	20	11	2	4	50	28	48
gene-353	0	0	0	3	2	4	0	2	0	0	1	3
gene-354	148	138	253	1201	1559	802	681	234	233	1018	768	1000
gene-355	1	1	0	1	0	0	0	0	0	2	0	0
gene-356	65	54	59	253	479	167	173	89	85	163	228	135
gene-357	0	0	0	0	0	0	0	0	0	0	0	0
gene-358	1	0	0	0	1	1	4	0	0	0	0	0
gene-359	0	0	0	0	0	0	0	0	2	0	0	1
gene-360	0	1	0	8	4	1	1	1	1	2	5	1
gene-361	0	0	0	0	0	0	0	0	0	0	0	0
gene-362	15	8	14	80	59	31	76	25	25	24	21	19
gene-363	87	73	156	661	524	253	1143	164	204	208	118	230
gene-364	1	2	0	1	10	5	4	4	3	1	3	2
gene-365	0	0	0	0	0	0	0	0	1	0	0	0
gene-366	1046	854	679	528	1637	805	1947	1713	1083	635	932	473
gene-367	1586	1412	1337	3259	12375	3827	3677	1989	2107	2872	4737	3324
gene-368	886	927	706	1313	7312	1901	3912	1468	1524	1454	4202	1794
gene-369	791	704	666	1627	6175	1910	1838	993	1052	1430	2366	1661
gene-370	133	86	94	71	901	248	213	156	122	173	457	148
gene-371	208	242	141	270	678	232	267	213	167	498	467	259
gene-372	0	0	0	0	0	0	0	0	0	0	0	0
gene-373	5	5	10	4	12	7	20	20	8	4	6	3
gene-374	5	4	2	0	2	1	4	1	1	1	0	0
gene-375	1184	1223	682	619	2445	1093	934	1554	840	1893	1877	880
gene-376	0	0	0	0	0	0	0	0	0	0	0	0
gene-377	0	0	0	0	0	0	0	0	0	0	0	0
gene-378	48	41	32	114	128	54	121	58	73	77	57	54
gene-379	0	0	0	0	0	1	3	3	1	2	1	1
gene-380	0	0	1	3	0	1	0	0	0	1	0	1
gene-381	284	230	190	451	1024	511	652	385	312	419	779	362
gene-382	5	4	5	26	39	15	11	9	7	20	21	9
gene-383	611	493	566	1441	1949	966	1706	635	587	646	877	768
gene-384	7	4	13	17	34	14	12	4	6	7	13	8
gene-385	648	371	403	280	644	392	1751	863	620	139	287	166
gene-386	0	0	0	0	0	0	0	0	1	0	1	0
gene-387	0	0	0	0	0	1	0	0	0	1	1	0
gene-388	1	1	0	10	23	15	0	2	1	25	13	11
gene-389	49	130	114	309	292	141	20	17	13	1832	869	1139
gene-390	1670	3641	1938	5183	12342	5281	446	457	278	88502	29129	32540
gene-391	115	61	72	141	284	186	219	82	116	374	209	311
gene-392	1	0	0	0	0	0	0	0	0	0	0	0
gene-393	0	1	1	2	4	2	0	0	0	10	4	4
gene-394	0	0	0	0	0	0	0	0	0	0	0	0
gene-395	0	0	0	0	0	0	1	0	1	0	3	2
gene-396	13	10	14	10	46	16	83	31	28	102	34	47
gene-397	1	0	0	4	6	3	1	1	1	0	1	1
gene-398	65	40	35	87	307	119	277	248	146	21	82	18
gene-399	24	29	20	79	38	16	304	30	63	37	30	30
gene-400	0	0	0	0	0	0	0	0	0	0	0	0
gene-401	0	0	0	0	0	0	0	0	0	0	0	0
gene-402	0	1	0	0	0	0	0	0	0	0	0	0
gene-403	0	0	0	0	0	0	0	0	0	0	0	0
gene-404	0	0	0	2	1	0	2	0	0	2	0	0
gene-405	0	0	0	0	0	0	0	0	0	0	0	0
gene-406	21	18	17	15	31	5	17	6	9	16	21	6
gene-407	31445	26781	17738	6683	35285	18995	18228	31894	18692	20016	20182	12798
gene-408	3	0	2	1	3	2	2	4	5	1	2	1
gene-409	5975	4783	4145	1405	5597	3203	8063	7787	4148	1748	3450	1513
gene-410	156	155	112	1144	1846	833	232	265	179	1218	812	717
gene-411	2	1	4	4	3	3	1	3	0	9	2	2
gene-412	0	0	1	0	0	0	0	0	0	0	0	0
gene-413	3	6	0	5	20	12	18	20	13	4	6	3
gene-414	2	6	3	2	2	1	0	7	0	5	8	2
gene-415	22	11	24	8	17	4	34	6	3	9	20	14
gene-416	0	0	0	0	0	0	0	0	0	0	0	0
gene-417	4	2	5	257	189	50	1	16	5	130	55	100
gene-418	0	0	0	0	0	0	0	0	0	0	0	0
gene-419	54	90	67	69	460	128	169	66	71	121	354	96
gene-420	12	10	6	36	100	23	75	24	20	20	72	20
gene-421	0	0	0	0	0	0	0	0	0	0	0	0
gene-422	0	1	0	4	1	0	0	1	1	0	0	1
gene-423	0	0	0	0	0	0	0	0	0	0	0	0
gene-424	0	0	0	0	0	0	0	0	0	0	0	0
gene-425	0	0	0	0	0	0	0	0	0	0	0	0
gene-426	0	0	0	0	0	0	0	0	0	0	0	0
gene-427	0	0	0	0	0	0	0	0	0	0	0	0
gene-428	0	0	0	0	0	0	0	0	0	0	0	0
gene-429	0	0	0	0	0	0	0	0	0	0	0	0
gene-430	0	1	0	0	0	0	0	0	0	1	0	0
gene-431	0	0	0	0	0	0	0	0	0	2	0	0
gene-432	0	0	0	0	1	1	0	0	2	0	0	0
gene-433	263	307	250	1140	2004	810	1281	652	484	911	1110	643
gene-434	0	0	0	0	0	0	0	0	0	0	0	0
gene-435	9	12	15	11	11	5	21	4	7	2	6	2
gene-436	27	14	32	35	75	34	205	90	70	10	13	10
gene-437	13	8	4	8	31	23	10	26	20	15	22	1
gene-438	2	1	1	0	0	0	0	0	0	0	1	0
gene-439	0	0	2	0	0	0	0	0	0	0	1	0
gene-440	0	1	0	0	0	0	0	0	0	1	0	0
gene-441	0	1	0	1	5	2	7	0	0	0	1	2
gene-442	2	0	0	1	11	7	2	2	3	5	4	2
gene-443	4968	4754	6396	24441	22181	12154	21347	8906	6454	10243	7058	7657
gene-444	3	1	1	2	5	1	0	2	1	5	4	1
gene-445	2	1	1	0	3	2	0	2	1	3	3	1
gene-446	989	866	724	1578	2766	1252	1495	985	713	3775	2645	2563
gene-447	11	6	12	23	31	20	13	7	4	86	34	31
gene-448	158	129	141	1505	2287	1180	286	357	258	1014	673	802
gene-449	4	2	1	56	43	29	10	5	8	18	10	8
gene-450	67	50	72	1367	944	481	323	201	125	356	274	326
gene-451	0	0	1	28	23	10	3	2	3	3	2	2
gene-452	3	6	2	21	67	22	6	17	6	31	27	7
gene-453	1	1	0	12	9	3	13	6	3	1	2	0
gene-454	0	0	0	0	0	0	0	0	0	1	0	0
gene-455	119	83	101	928	1077	537	594	308	229	216	222	278
gene-456	419	331	227	342	903	410	320	501	280	474	484	299
gene-457	2	4	5	2	7	4	3	9	4	2	1	4
gene-458	307	374	306	727	1416	693	255	356	212	1528	1011	921
gene-459	3	11	25	35	38	24	26	8	16	10	8	17
gene-460	3	6	1	9	8	6	5	5	2	9	5	2
gene-461	37	25	25	78	110	61	129	48	15	56	49	46
gene-462	753	816	913	2258	4005	1890	2365	1609	1019	2466	1874	1980
gene-463	7353	6476	7764	12307	14852	7827	11132	6974	5219	6744	5780	6829
