	Sample.12	Sample.8	Sample.10	Sample.1	Sample.5	Sample.3	Sample.6	Sample.2	Sample.4	Sample.11	Sample.7	Sample.9
gene-1294	1	0	1	0	1	0	2	1	0	0	0	0
gene-1295	0	0	0	3	0	0	2	0	0	0	0	0
gene-1296	0	1	1	0	0	0	0	1	0	0	0	0
gene-1297	0	0	1	0	0	1	1	0	1	0	0	1
gene-1298	0	0	0	0	0	0	0	0	0	0	0	0
gene-1299	0	0	0	0	0	0	0	0	0	0	0	0
gene-1300	0	0	1	1	0	0	0	0	0	0	0	0
gene-1301	0	0	0	0	0	0	0	0	0	0	0	0
gene-1302	0	0	0	0	0	0	0	0	0	0	0	0
gene-1303	2	0	0	0	0	0	0	0	0	0	0	0
gene-1304	0	0	0	0	0	0	0	0	0	0	0	0
gene-1305	0	0	0	0	0	0	0	0	0	0	0	0
gene-1306	0	0	2	2	0	1	2	0	0	1	0	1
gene-1307	1	0	0	0	0	0	0	0	0	0	0	0
gene-1308	0	0	0	0	1	0	1	1	1	0	0	0
gene-1309	0	0	0	0	1	1	0	1	0	0	0	0
gene-1310	0	0	0	0	0	0	0	0	0	0	0	0
gene-1311	0	0	0	0	0	0	0	0	0	0	0	0
gene-1312	0	0	0	0	0	0	0	0	0	0	0	0
gene-1313	0	0	0	0	0	0	0	0	0	0	0	0
gene-1314	0	0	0	0	0	0	0	0	0	0	0	0
gene-1315	0	0	0	1	0	0	0	0	0	0	0	0
gene-1316	0	0	0	0	0	0	0	0	0	0	0	0
gene-1317	0	0	0	0	0	0	0	0	0	0	0	0
gene-1318	0	0	0	0	0	0	0	0	0	0	0	0
gene-1319	0	0	0	0	0	0	0	0	0	0	0	0
gene-1320	0	0	0	0	0	0	0	0	0	0	0	0
gene-1321	0	0	0	0	0	0	0	0	0	1	0	0
gene-1322	0	0	0	0	0	0	0	0	0	0	0	0
gene-1323	0	0	0	0	0	0	0	0	0	0	0	0
gene-1324	0	0	1	0	4	1	2	2	0	0	0	0
gene-1325	0	0	0	0	1	0	0	0	0	0	0	0
gene-1326	0	0	0	2	0	0	0	0	0	0	0	0
gene-1327	0	0	0	0	0	0	0	0	0	0	0	0
gene-1328	0	0	0	0	0	0	0	0	0	0	0	0
gene-1329	0	0	0	0	0	0	0	0	0	0	0	0
gene-1330	0	0	0	0	0	0	0	0	0	1	0	0
gene-1331	0	0	0	0	0	0	0	0	0	0	0	0
gene-1332	0	0	0	0	0	0	0	0	0	0	0	0
gene-1333	0	1	1	0	3	0	3	2	0	0	0	0
gene-1334	0	0	0	0	0	0	0	0	0	0	0	0
gene-1335	0	0	0	0	0	0	0	0	0	0	0	0
gene-1336	0	0	2	0	3	0	1	2	1	0	0	0
gene-1337	1	0	6	1	1	0	1	0	1	0	1	2
gene-1338	0	0	0	0	0	0	1	0	2	0	0	0
gene-1339	2	0	1	1	3	0	7	2	0	1	1	0
gene-1340	0	0	0	0	0	0	0	0	0	0	0	0
gene-1341	0	0	0	0	0	0	1	0	0	0	0	1
gene-1342	0	0	0	0	1	0	0	0	0	0	0	0
gene-1343	0	0	0	0	1	0	0	0	0	0	0	0
gene-1344	0	0	0	0	0	0	0	0	1	1	0	0
gene-1345	0	0	0	0	0	0	0	0	0	0	0	0
gene-1346	1	0	0	0	0	0	0	0	0	0	0	0
gene-1347	3	0	1	3	0	0	2	1	0	0	0	0
gene-1348	0	0	0	0	0	0	1	0	1	0	0	0
gene-1349	0	0	0	0	0	0	0	0	0	0	0	0
gene-1350	1	0	0	0	1	0	0	0	1	0	0	0
gene-1351	0	0	0	0	0	0	0	0	0	0	0	0
gene-1352	0	0	0	3	1	0	0	0	0	0	1	4
gene-1353	0	0	0	0	3	1	0	0	0	1	1	0
gene-1354	0	0	0	0	0	0	0	0	0	0	0	0
gene-1355	0	0	0	0	0	0	1	0	0	0	0	0
gene-1356	0	0	0	0	0	0	0	0	0	0	0	0
gene-1357	0	0	0	0	1	0	0	0	0	0	0	0
gene-1358	0	0	0	0	0	0	1	0	0	0	1	0
gene-1359	0	0	0	1	0	0	0	0	0	0	0	0
gene-1360	0	0	0	0	0	0	0	2	0	0	0	0
gene-1361	0	2	4	21	16	6	5	5	3	13	5	7
gene-1362	0	0	0	0	0	0	0	0	0	1	0	0
gene-1363	3	0	0	3	0	1	6	0	2	0	0	0
gene-1364	0	0	0	0	2	0	0	0	0	0	0	0
gene-1365	0	0	0	0	2	0	0	0	0	1	1	0
gene-1366	0	0	0	2	2	0	2	0	0	0	1	0
gene-1367	0	0	0	0	0	0	0	0	0	1	0	0
gene-1368	0	1	0	1	3	2	5	0	1	0	0	0
gene-1369	1	1	1	5	2	0	2	0	1	1	1	0
gene-1370	0	3	0	3	1	0	1	1	0	2	0	2
gene-1371	0	0	0	0	0	0	0	0	0	0	0	0
gene-1372	0	0	0	0	0	0	0	0	0	0	0	0
gene-1373	0	0	0	0	0	0	0	0	0	0	0	0
gene-1374	0	0	0	1	2	0	0	0	0	0	0	0
gene-1375	0	0	0	0	0	1	0	1	0	0	0	0
gene-1376	0	0	0	0	0	0	0	0	0	0	0	0
gene-1377	0	0	0	0	0	0	0	0	1	0	0	0
gene-1378	0	0	3	2	0	1	5	2	0	1	3	3
gene-1379	0	0	0	2	0	0	2	1	0	0	0	0
gene-1380	0	0	0	0	0	0	0	0	0	0	0	0
gene-1381	0	0	0	0	0	0	0	0	0	0	0	0
gene-1382	0	0	0	0	0	0	0	0	0	0	0	0
gene-1383	0	0	0	0	0	2	0	0	0	0	0	0
gene-1384	0	0	0	0	0	0	0	0	0	0	0	0
gene-1385	0	1	0	1	1	0	1	0	0	0	0	1
gene-1386	0	0	0	0	0	0	0	0	0	0	0	0
gene-1387	0	0	0	0	0	0	0	0	0	0	0	0
gene-1388	0	0	0	0	0	0	0	0	0	0	0	0
gene-1389	0	0	0	0	0	0	0	0	0	0	0	0
gene-1390	2	1	3	4	0	0	5	5	2	3	1	3
gene-1391	0	0	0	0	0	0	0	0	0	0	0	0
gene-1392	0	0	0	0	0	0	1	0	0	0	0	1
gene-1393	0	0	1	1	1	0	6	1	1	1	1	0
gene-1394	3	1	3	1	2	2	2	5	0	1	0	1
gene-1395	0	0	0	0	0	0	0	0	0	0	0	0
gene-1396	2	0	0	0	0	1	6	1	1	0	0	2
gene-1397	0	0	0	0	0	0	0	0	0	0	0	0
gene-1398	0	0	0	0	0	0	0	0	0	0	0	0
gene-1399	0	0	0	0	0	0	0	0	0	0	2	0
gene-1400	0	0	4	1	0	0	0	2	0	0	0	0
gene-1401	0	0	0	0	0	0	0	0	0	0	0	0
gene-1402	0	0	0	0	0	0	0	0	0	0	0	0
gene-1403	0	0	1	0	0	0	1	0	1	0	1	0
gene-1404	0	1	0	0	0	0	0	1	0	0	0	0
gene-1405	0	1	0	1	0	1	0	0	0	0	0	0
gene-1406	0	0	0	0	0	0	0	0	0	0	1	0
gene-1407	0	1	0	0	0	1	2	1	0	2	0	3
gene-1408	0	0	0	0	0	0	0	0	0	0	0	0
gene-1409	1	2	0	2	1	1	1	0	0	3	1	0
gene-1410	0	1	0	0	4	2	2	3	1	0	0	1
gene-1411	0	0	0	0	0	0	0	0	0	0	0	0
gene-1412	0	0	0	0	0	0	0	0	0	0	0	0
gene-1413	0	0	0	0	0	0	0	0	0	0	0	0
gene-1414	0	0	0	0	0	0	0	0	0	0	0	0
gene-1415	0	0	0	0	0	0	0	0	0	0	0	0
gene-1416	0	0	0	1	1	0	0	0	1	2	0	1
gene-1417	1	1	2	0	2	3	0	1	0	1	1	1
gene-1418	0	0	0	0	0	1	1	0	0	0	0	0
gene-1419	0	0	0	1	0	0	0	0	1	0	0	0
gene-1420	0	0	0	0	0	0	0	0	0	0	0	0
gene-1421	0	0	0	0	0	0	0	0	0	0	0	0
gene-1422	0	0	0	0	0	0	0	0	0	0	0	0
